user_id,price_sensitivity,meal_size_preference,loyalty_status,frequent_order_time,past_orders,average_order_value,current_time,current_weather,cart_status,device_type,page_view,current_promotion,banner_shown,converted
56,Low,Large,Regular,Breakfast,19,25,Lunch,Rainy,Full,Mobile,Drinks,None,meal_time_banner,0
57,High,Large,Silver,Breakfast,14,49,Late Night,Rainy,Partial,Desktop,Drinks,Free Drink Offer,combo_banner,0
58,Low,Medium,Gold,Lunch,10,80,Dinner,Cold,Partial,Desktop,Combos,None,combo_banner,1
59,Low,Large,Gold,Lunch,10,96,Breakfast,Rainy,Full,Desktop,Offers,None,combo_banner,0
60,Medium,Medium,Silver,Lunch,8,129,Breakfast,Cold,Partial,Desktop,Offers,None,discount_banner,0
61,High,Medium,Silver,Lunch,14,55,Late Night,Rainy,Full,Desktop,Combos,Free Drink Offer,discount_banner,1
62,Medium,Large,Gold,Late Night,13,119,Dinner,Rainy,Empty,Desktop,Drinks,Summer Special,discount_banner,1
63,Medium,Medium,Gold,Breakfast,6,141,Dinner,Cold,Partial,Desktop,Offers,None,discount_banner,1
64,Medium,Medium,Silver,Dinner,13,78,Lunch,Cold,Empty,Mobile,Combos,Summer Special,loyalty_banner,1
65,Medium,Medium,Silver,Lunch,3,129,Breakfast,Hot,Partial,Desktop,Combos,Summer Special,combo_banner,0
66,Medium,Medium,Gold,Breakfast,13,149,Dinner,Hot,Full,Desktop,Burgers,Free Drink Offer,discount_banner,1
67,Medium,Large,Regular,Lunch,19,33,Breakfast,Hot,Partial,Desktop,Combos,None,combo_banner,1
68,Medium,Small,Gold,Late Night,16,83,Breakfast,Cold,Partial,Desktop,Drinks,None,loyalty_banner,0
69,High,Small,Silver,Dinner,4,91,Breakfast,Rainy,Full,Desktop,Burgers,Summer Special,discount_banner,1
70,Low,Medium,Silver,Breakfast,3,40,Breakfast,Cold,Empty,Mobile,Offers,Summer Special,meal_time_banner,1
71,Medium,Medium,Regular,Breakfast,15,113,Lunch,Rainy,Full,Desktop,Combos,Summer Special,weather_banner,0
72,Medium,Medium,Gold,Dinner,15,98,Dinner,Rainy,Empty,Mobile,Burgers,Free Drink Offer,discount_banner,0
73,Medium,Small,Silver,Late Night,18,39,Breakfast,Rainy,Empty,Desktop,Combos,Free Drink Offer,discount_banner,0
74,Medium,Medium,Gold,Dinner,7,77,Dinner,Hot,Partial,Desktop,Combos,Summer Special,meal_time_banner,0
75,Medium,Large,Silver,Breakfast,5,61,Late Night,Cold,Partial,Mobile,Burgers,Free Drink Offer,loyalty_banner,0
76,Medium,Large,Regular,Dinner,8,113,Late Night,Cold,Empty,Mobile,Offers,Free Drink Offer,weather_banner,1
77,Low,Large,Gold,Late Night,10,107,Dinner,Hot,Full,Desktop,Combos,Free Drink Offer,loyalty_banner,0
78,Low,Small,Gold,Late Night,1,28,Lunch,Rainy,Empty,Desktop,Drinks,None,meal_time_banner,0
79,Medium,Medium,Regular,Lunch,11,98,Lunch,Hot,Partial,Mobile,Offers,Free Drink Offer,discount_banner,0
80,Low,Medium,Silver,Dinner,3,101,Late Night,Rainy,Full,Desktop,Offers,Summer Special,weather_banner,0
81,High,Medium,Silver,Dinner,3,22,Breakfast,Hot,Full,Mobile,Combos,None,loyalty_banner,1
82,Medium,Small,Gold,Breakfast,15,58,Late Night,Cold,Partial,Desktop,Offers,Summer Special,discount_banner,0
83,High,Small,Regular,Late Night,17,83,Breakfast,Hot,Full,Mobile,Burgers,Free Drink Offer,combo_banner,1
84,High,Small,Gold,Dinner,18,50,Late Night,Cold,Full,Desktop,Burgers,Summer Special,meal_time_banner,0
85,Medium,Small,Gold,Breakfast,8,130,Late Night,Rainy,Empty,Desktop,Offers,Summer Special,loyalty_banner,0
86,Low,Large,Silver,Lunch,13,142,Lunch,Hot,Empty,Mobile,Combos,Free Drink Offer,combo_banner,0
87,High,Small,Silver,Dinner,10,115,Dinner,Hot,Partial,Mobile,Drinks,Summer Special,loyalty_banner,1
88,Medium,Small,Silver,Dinner,3,24,Dinner,Hot,Empty,Desktop,Combos,Free Drink Offer,loyalty_banner,0
89,High,Small,Silver,Breakfast,14,77,Late Night,Hot,Full,Mobile,Combos,Free Drink Offer,combo_banner,1
90,High,Medium,Silver,Breakfast,13,124,Lunch,Cold,Partial,Desktop,Combos,Free Drink Offer,meal_time_banner,1
91,High,Medium,Regular,Late Night,3,82,Breakfast,Cold,Partial,Mobile,Offers,Summer Special,meal_time_banner,0
92,High,Medium,Gold,Late Night,13,80,Late Night,Hot,Partial,Mobile,Offers,Summer Special,combo_banner,1
93,Low,Large,Regular,Late Night,9,71,Breakfast,Cold,Full,Desktop,Combos,Summer Special,meal_time_banner,0
94,High,Large,Gold,Dinner,16,127,Breakfast,Hot,Empty,Mobile,Drinks,None,weather_banner,0
95,High,Small,Silver,Breakfast,8,120,Lunch,Cold,Full,Desktop,Combos,Summer Special,weather_banner,0
96,High,Medium,Regular,Late Night,12,52,Lunch,Cold,Full,Desktop,Drinks,Free Drink Offer,discount_banner,0
97,Low,Large,Gold,Dinner,12,41,Dinner,Cold,Empty,Mobile,Combos,Free Drink Offer,combo_banner,0
98,High,Medium,Silver,Late Night,19,70,Lunch,Hot,Empty,Desktop,Drinks,None,weather_banner,1
99,High,Large,Silver,Lunch,17,30,Late Night,Hot,Full,Mobile,Combos,None,loyalty_banner,0
100,Low,Large,Regular,Dinner,15,146,Late Night,Cold,Empty,Desktop,Burgers,None,meal_time_banner,0
101,Low,Small,Regular,Late Night,18,69,Breakfast,Rainy,Full,Mobile,Offers,None,weather_banner,0
102,Low,Small,Regular,Late Night,7,36,Dinner,Cold,Empty,Mobile,Combos,Summer Special,weather_banner,0
103,High,Large,Silver,Lunch,13,63,Breakfast,Hot,Full,Mobile,Offers,Summer Special,combo_banner,0
104,Low,Small,Gold,Lunch,19,58,Breakfast,Rainy,Empty,Desktop,Combos,Free Drink Offer,loyalty_banner,1
105,Low,Large,Gold,Late Night,16,42,Dinner,Hot,Partial,Mobile,Offers,Summer Special,weather_banner,0
106,High,Large,Regular,Late Night,11,50,Breakfast,Rainy,Empty,Mobile,Burgers,None,loyalty_banner,1
107,Low,Medium,Gold,Breakfast,5,103,Dinner,Rainy,Full,Desktop,Offers,None,meal_time_banner,1
108,High,Small,Silver,Late Night,2,42,Breakfast,Hot,Empty,Mobile,Burgers,None,meal_time_banner,0
109,Medium,Small,Gold,Late Night,1,77,Breakfast,Cold,Empty,Desktop,Offers,None,meal_time_banner,0
110,Low,Small,Silver,Breakfast,16,107,Dinner,Hot,Full,Mobile,Combos,Summer Special,discount_banner,1
111,Medium,Medium,Regular,Breakfast,5,44,Late Night,Hot,Empty,Desktop,Drinks,Free Drink Offer,combo_banner,0
112,High,Medium,Gold,Late Night,7,65,Breakfast,Cold,Partial,Mobile,Offers,Free Drink Offer,meal_time_banner,0
113,Low,Medium,Silver,Breakfast,9,81,Breakfast,Cold,Partial,Desktop,Burgers,Summer Special,discount_banner,0
114,High,Small,Regular,Dinner,4,38,Late Night,Rainy,Partial,Mobile,Burgers,None,discount_banner,0
115,Medium,Small,Regular,Lunch,19,131,Dinner,Rainy,Partial,Mobile,Offers,Summer Special,combo_banner,1
116,High,Small,Regular,Dinner,15,109,Dinner,Cold,Empty,Mobile,Burgers,Summer Special,meal_time_banner,0
117,Low,Medium,Regular,Lunch,7,67,Late Night,Hot,Partial,Mobile,Burgers,Free Drink Offer,combo_banner,1
118,Low,Medium,Gold,Lunch,18,142,Dinner,Cold,Empty,Mobile,Burgers,Summer Special,combo_banner,0
119,Medium,Large,Silver,Late Night,5,136,Lunch,Cold,Partial,Desktop,Burgers,None,weather_banner,1
120,High,Medium,Gold,Lunch,13,100,Breakfast,Cold,Partial,Desktop,Offers,Summer Special,combo_banner,0
121,Low,Large,Silver,Dinner,3,119,Dinner,Hot,Full,Desktop,Combos,Free Drink Offer,discount_banner,1
122,Medium,Small,Regular,Late Night,6,92,Late Night,Hot,Empty,Mobile,Combos,Free Drink Offer,meal_time_banner,1
123,Low,Medium,Gold,Breakfast,12,47,Breakfast,Rainy,Empty,Desktop,Burgers,Free Drink Offer,combo_banner,1
124,Low,Small,Regular,Dinner,18,30,Late Night,Cold,Empty,Desktop,Drinks,Summer Special,discount_banner,0
125,High,Small,Silver,Late Night,18,106,Dinner,Cold,Full,Desktop,Offers,None,meal_time_banner,1
126,Low,Small,Regular,Lunch,4,120,Late Night,Hot,Empty,Mobile,Offers,None,loyalty_banner,1
127,High,Small,Gold,Dinner,14,55,Late Night,Cold,Full,Desktop,Drinks,None,discount_banner,1
128,Low,Medium,Gold,Lunch,14,119,Breakfast,Hot,Empty,Desktop,Offers,Free Drink Offer,loyalty_banner,0
129,Medium,Small,Silver,Late Night,1,138,Breakfast,Rainy,Partial,Desktop,Drinks,Free Drink Offer,loyalty_banner,1
130,Low,Large,Silver,Late Night,11,117,Dinner,Rainy,Full,Mobile,Combos,Free Drink Offer,weather_banner,0
131,High,Medium,Gold,Breakfast,9,107,Late Night,Rainy,Full,Mobile,Combos,None,loyalty_banner,1
132,High,Small,Gold,Breakfast,18,55,Late Night,Hot,Full,Desktop,Combos,Free Drink Offer,discount_banner,0
133,Medium,Medium,Gold,Dinner,5,77,Dinner,Hot,Empty,Desktop,Combos,Free Drink Offer,combo_banner,0
134,Low,Large,Gold,Breakfast,10,47,Late Night,Cold,Partial,Desktop,Burgers,Summer Special,meal_time_banner,0
135,Low,Small,Silver,Lunch,15,58,Late Night,Rainy,Full,Mobile,Burgers,Free Drink Offer,weather_banner,1
136,Medium,Large,Gold,Lunch,10,85,Late Night,Hot,Full,Mobile,Offers,Free Drink Offer,meal_time_banner,1
137,Low,Small,Silver,Breakfast,16,24,Late Night,Rainy,Empty,Mobile,Drinks,None,discount_banner,0
138,Low,Large,Gold,Breakfast,4,28,Lunch,Rainy,Empty,Desktop,Drinks,None,combo_banner,1
139,High,Small,Gold,Breakfast,4,122,Dinner,Rainy,Partial,Mobile,Burgers,Summer Special,loyalty_banner,1
140,Low,Medium,Regular,Dinner,8,76,Dinner,Cold,Full,Mobile,Drinks,None,loyalty_banner,1
141,Low,Small,Regular,Dinner,6,46,Late Night,Hot,Full,Mobile,Combos,None,discount_banner,1
142,Medium,Medium,Gold,Lunch,11,122,Dinner,Hot,Full,Desktop,Drinks,Free Drink Offer,discount_banner,0
143,Medium,Small,Silver,Dinner,13,101,Lunch,Hot,Full,Mobile,Combos,Summer Special,meal_time_banner,0
144,High,Small,Gold,Dinner,19,104,Late Night,Cold,Full,Desktop,Offers,Free Drink Offer,meal_time_banner,1
145,Low,Large,Regular,Late Night,11,84,Breakfast,Cold,Partial,Desktop,Drinks,Free Drink Offer,meal_time_banner,0
146,Low,Large,Gold,Lunch,2,106,Lunch,Cold,Full,Mobile,Combos,Summer Special,loyalty_banner,0
147,Low,Large,Regular,Lunch,3,53,Breakfast,Cold,Empty,Mobile,Offers,None,discount_banner,1
148,High,Small,Gold,Breakfast,15,119,Dinner,Hot,Full,Desktop,Offers,Summer Special,weather_banner,1
149,High,Small,Gold,Late Night,13,113,Dinner,Cold,Full,Desktop,Offers,Free Drink Offer,loyalty_banner,1
150,Medium,Small,Silver,Breakfast,10,67,Dinner,Hot,Full,Mobile,Drinks,Summer Special,weather_banner,0
151,High,Medium,Regular,Dinner,5,119,Late Night,Rainy,Full,Mobile,Combos,None,meal_time_banner,0
152,Low,Medium,Regular,Lunch,11,101,Lunch,Hot,Full,Desktop,Burgers,Summer Special,meal_time_banner,1
153,Low,Small,Regular,Dinner,14,136,Lunch,Rainy,Partial,Mobile,Burgers,Free Drink Offer,discount_banner,1
154,High,Large,Silver,Dinner,15,30,Late Night,Cold,Empty,Desktop,Combos,Free Drink Offer,combo_banner,0
155,Low,Large,Gold,Late Night,13,71,Late Night,Rainy,Partial,Desktop,Offers,Free Drink Offer,combo_banner,1
156,Low,Large,Silver,Late Night,3,50,Dinner,Cold,Empty,Desktop,Burgers,Free Drink Offer,meal_time_banner,0
157,High,Small,Gold,Lunch,9,43,Lunch,Hot,Empty,Mobile,Drinks,None,combo_banner,1
158,High,Large,Silver,Lunch,8,115,Dinner,Hot,Empty,Mobile,Offers,Summer Special,combo_banner,1
159,Low,Small,Silver,Late Night,15,140,Lunch,Cold,Full,Desktop,Burgers,Summer Special,meal_time_banner,0
160,Low,Medium,Regular,Late Night,1,91,Late Night,Hot,Partial,Desktop,Combos,Summer Special,discount_banner,0
161,Low,Large,Silver,Late Night,2,116,Dinner,Rainy,Empty,Mobile,Burgers,None,loyalty_banner,0
162,Medium,Medium,Gold,Late Night,9,134,Lunch,Rainy,Empty,Desktop,Drinks,Summer Special,combo_banner,0
163,Medium,Large,Silver,Lunch,17,83,Late Night,Rainy,Full,Desktop,Combos,Summer Special,weather_banner,0
164,Medium,Small,Silver,Lunch,9,146,Breakfast,Cold,Full,Desktop,Burgers,None,combo_banner,0
165,High,Small,Gold,Dinner,1,136,Dinner,Rainy,Partial,Desktop,Burgers,Free Drink Offer,loyalty_banner,1
166,Medium,Small,Regular,Dinner,8,58,Lunch,Rainy,Empty,Mobile,Burgers,Free Drink Offer,loyalty_banner,0
167,High,Small,Gold,Dinner,5,148,Lunch,Rainy,Empty,Desktop,Offers,None,loyalty_banner,0
168,High,Large,Gold,Lunch,11,116,Dinner,Rainy,Empty,Mobile,Offers,None,loyalty_banner,0
169,Medium,Medium,Gold,Breakfast,6,96,Lunch,Rainy,Partial,Mobile,Drinks,Free Drink Offer,weather_banner,0
170,Medium,Small,Silver,Dinner,17,24,Breakfast,Rainy,Full,Desktop,Burgers,None,discount_banner,0
171,Medium,Large,Silver,Breakfast,18,22,Breakfast,Cold,Full,Desktop,Drinks,Summer Special,loyalty_banner,0
172,Low,Medium,Gold,Breakfast,18,80,Lunch,Rainy,Partial,Mobile,Combos,Summer Special,loyalty_banner,0
173,Medium,Small,Gold,Breakfast,5,130,Dinner,Cold,Full,Mobile,Drinks,None,weather_banner,1
174,Low,Medium,Regular,Late Night,5,94,Lunch,Cold,Empty,Desktop,Offers,Free Drink Offer,combo_banner,0
175,High,Small,Silver,Lunch,19,149,Lunch,Cold,Empty,Desktop,Burgers,Summer Special,combo_banner,1
176,Low,Medium,Silver,Lunch,13,48,Breakfast,Rainy,Partial,Desktop,Offers,Free Drink Offer,weather_banner,1
177,Medium,Medium,Silver,Dinner,7,60,Late Night,Rainy,Full,Desktop,Combos,Summer Special,combo_banner,1
178,High,Small,Silver,Dinner,14,48,Late Night,Cold,Partial,Mobile,Offers,Free Drink Offer,meal_time_banner,0
179,High,Large,Gold,Lunch,8,119,Lunch,Cold,Partial,Mobile,Burgers,None,discount_banner,0
180,High,Medium,Gold,Late Night,3,83,Dinner,Rainy,Full,Mobile,Offers,Summer Special,combo_banner,0
181,Low,Small,Regular,Lunch,4,77,Breakfast,Hot,Partial,Desktop,Burgers,Summer Special,weather_banner,0
182,Medium,Medium,Silver,Breakfast,10,30,Late Night,Hot,Empty,Mobile,Drinks,Summer Special,meal_time_banner,1
183,High,Medium,Silver,Lunch,4,96,Lunch,Hot,Partial,Mobile,Burgers,None,discount_banner,1
184,High,Large,Gold,Late Night,18,127,Dinner,Rainy,Empty,Desktop,Drinks,None,loyalty_banner,0
185,High,Medium,Regular,Lunch,12,113,Breakfast,Cold,Empty,Mobile,Combos,Free Drink Offer,combo_banner,1
186,Low,Medium,Gold,Lunch,15,105,Late Night,Hot,Partial,Mobile,Combos,Free Drink Offer,discount_banner,1
187,Low,Small,Silver,Lunch,13,84,Late Night,Cold,Empty,Desktop,Offers,Free Drink Offer,discount_banner,1
188,Medium,Small,Silver,Breakfast,12,46,Late Night,Rainy,Partial,Mobile,Combos,Summer Special,loyalty_banner,0
189,Low,Large,Regular,Dinner,8,84,Dinner,Cold,Partial,Mobile,Burgers,Free Drink Offer,discount_banner,0
190,High,Medium,Gold,Late Night,9,77,Dinner,Hot,Full,Desktop,Offers,Free Drink Offer,combo_banner,1
191,Medium,Medium,Silver,Breakfast,9,44,Dinner,Rainy,Partial,Desktop,Offers,Summer Special,meal_time_banner,1
192,High,Medium,Silver,Lunch,17,67,Lunch,Cold,Empty,Mobile,Drinks,Free Drink Offer,combo_banner,0
193,High,Large,Regular,Lunch,1,23,Breakfast,Rainy,Partial,Desktop,Burgers,Summer Special,weather_banner,0
194,Low,Medium,Silver,Dinner,6,134,Lunch,Hot,Partial,Desktop,Burgers,Summer Special,discount_banner,1
195,Medium,Small,Silver,Dinner,7,23,Breakfast,Hot,Full,Mobile,Drinks,Free Drink Offer,loyalty_banner,0
196,Low,Large,Gold,Dinner,9,109,Dinner,Hot,Full,Mobile,Burgers,Free Drink Offer,weather_banner,1
197,Low,Small,Regular,Breakfast,10,35,Late Night,Rainy,Empty,Mobile,Combos,Free Drink Offer,discount_banner,1
198,Medium,Small,Regular,Late Night,4,148,Dinner,Rainy,Empty,Desktop,Drinks,None,discount_banner,1
199,High,Large,Regular,Dinner,16,120,Lunch,Hot,Empty,Mobile,Combos,Free Drink Offer,meal_time_banner,0
200,High,Small,Gold,Lunch,12,131,Dinner,Rainy,Empty,Desktop,Burgers,None,loyalty_banner,0
201,Medium,Medium,Regular,Late Night,9,64,Dinner,Rainy,Full,Desktop,Offers,Summer Special,combo_banner,0
202,High,Large,Silver,Lunch,3,82,Dinner,Hot,Partial,Desktop,Burgers,Summer Special,discount_banner,1
203,Medium,Small,Regular,Lunch,9,113,Late Night,Hot,Full,Desktop,Combos,Free Drink Offer,weather_banner,1
204,Medium,Medium,Silver,Late Night,17,55,Breakfast,Cold,Full,Mobile,Offers,Free Drink Offer,loyalty_banner,0
205,Low,Medium,Regular,Breakfast,14,140,Breakfast,Hot,Full,Mobile,Burgers,Free Drink Offer,combo_banner,0
206,Medium,Small,Regular,Late Night,5,122,Lunch,Rainy,Partial,Desktop,Burgers,None,weather_banner,1
207,Low,Medium,Gold,Dinner,1,85,Breakfast,Cold,Partial,Desktop,Offers,Summer Special,loyalty_banner,1
208,High,Large,Regular,Late Night,1,138,Dinner,Rainy,Full,Desktop,Drinks,None,meal_time_banner,0
209,High,Small,Regular,Dinner,3,27,Late Night,Cold,Partial,Desktop,Drinks,Free Drink Offer,weather_banner,0
210,High,Medium,Gold,Dinner,9,46,Dinner,Rainy,Full,Desktop,Combos,None,loyalty_banner,1
211,High,Medium,Silver,Late Night,6,53,Dinner,Cold,Full,Mobile,Offers,Summer Special,combo_banner,0
212,Low,Small,Regular,Late Night,9,47,Lunch,Cold,Empty,Mobile,Burgers,Free Drink Offer,discount_banner,0
213,High,Small,Regular,Dinner,4,127,Dinner,Rainy,Full,Desktop,Combos,None,loyalty_banner,1
214,Medium,Small,Silver,Lunch,19,142,Dinner,Cold,Full,Mobile,Offers,Summer Special,weather_banner,1
215,Medium,Small,Gold,Late Night,5,28,Lunch,Rainy,Full,Desktop,Burgers,Free Drink Offer,combo_banner,0
216,Medium,Large,Regular,Breakfast,5,76,Breakfast,Rainy,Empty,Mobile,Drinks,Free Drink Offer,discount_banner,1
217,Low,Small,Gold,Dinner,14,64,Breakfast,Cold,Partial,Mobile,Drinks,Free Drink Offer,combo_banner,0
218,High,Large,Silver,Lunch,10,30,Breakfast,Hot,Empty,Desktop,Burgers,Free Drink Offer,discount_banner,1
219,High,Large,Silver,Late Night,16,88,Lunch,Hot,Partial,Mobile,Drinks,None,meal_time_banner,0
220,High,Small,Gold,Late Night,6,114,Lunch,Hot,Empty,Mobile,Drinks,None,meal_time_banner,0
221,Low,Large,Silver,Lunch,14,149,Late Night,Rainy,Partial,Desktop,Burgers,Free Drink Offer,combo_banner,0
222,Medium,Small,Silver,Breakfast,18,122,Late Night,Rainy,Empty,Mobile,Drinks,Free Drink Offer,discount_banner,1
223,Medium,Small,Regular,Dinner,9,36,Dinner,Hot,Full,Desktop,Burgers,None,discount_banner,0
224,High,Medium,Gold,Late Night,7,129,Dinner,Rainy,Partial,Desktop,Offers,None,loyalty_banner,0
225,Medium,Small,Regular,Breakfast,18,55,Lunch,Hot,Empty,Desktop,Combos,Free Drink Offer,loyalty_banner,0
226,Medium,Medium,Gold,Dinner,10,62,Lunch,Rainy,Empty,Mobile,Offers,Free Drink Offer,meal_time_banner,1
227,Low,Large,Regular,Breakfast,2,112,Late Night,Rainy,Empty,Desktop,Burgers,None,meal_time_banner,1
228,Low,Medium,Silver,Dinner,13,52,Dinner,Rainy,Partial,Desktop,Combos,None,discount_banner,0
229,Low,Large,Gold,Dinner,6,121,Dinner,Hot,Full,Desktop,Offers,None,discount_banner,1
230,Low,Small,Gold,Breakfast,9,48,Dinner,Cold,Empty,Desktop,Burgers,None,weather_banner,0
231,High,Large,Gold,Dinner,8,100,Breakfast,Rainy,Partial,Desktop,Burgers,Free Drink Offer,loyalty_banner,0
232,Low,Large,Gold,Late Night,10,94,Late Night,Rainy,Partial,Mobile,Offers,None,discount_banner,1
233,Medium,Small,Silver,Late Night,16,128,Breakfast,Hot,Full,Desktop,Burgers,Free Drink Offer,discount_banner,1
